episode,title,abbr,stardate,original_airdate,production_number
1x03,One of Our Planets Is Missing,TAS,5371.3 - 5372.1,1973-09-22,22007
1x04,The Lorelei Signal,TAS,5483.7 - 5483.9,1973-09-29,22006
1x05,"More Tribbles, More Troubles",TAS,5392.4,1973-10-06,22001
1x06,The Survivor,TAS,5143.3,1973-10-13,22005
1x07,The Infinite Vulcan,TAS,5554.4 -5554.8,1973-10-20,22002
1x08,The Magicks of Megas-Tu,TAS,1254.4,1973-10-27,22009
1x09,Once Upon a Planet,TAS,5591.2,1973-11-03,22017
1x10,Mudd's Passion,TAS,4978.5,1973-11-10,22008
1x11,The Terratin Incident,TAS,5577.3 - 5577.7,1973-11-17,22015
1x12,The Time Trap,TAS,5267.2 - 5267.6,1973-11-24,22010
1x13,The Ambergris Element,TAS,5499.9,1973-12-01,22013
1x14,The Slaver Weapon,TAS,4187.3,1973-12-15,22011
1x15,The Eye of the Beholder,TAS,5501.2,1974-01-05,22016
1x16,The Jihad,TAS,5683.1,1974-01-12,22014
2x01,The Pirates of Orion,TAS,6334.1 - 6335.6,1974-09-07,22020
2x02,Bem,TAS,7403.6,1974-09-14,22018
2x03,The Practical Joker,TAS,3183.3,1974-09-21,22021
2x04,Albatross,TAS,5275.6 - 5276.8,1974-09-28,22019
2x05,How Sharper Than a Serpent's Tooth,TAS,6063.4 - 6063.5,1974-10-05,22022
2x06,The Counter-Clock Incident,TAS,6770.1 - 6770.6,1974-10-12,22023
1x01/02,Encounter at Farpoint,TNG,41153.7,1987-09-28,?????-721
1x03,The Naked Now,TNG,41209.2,1987-10-05,40271-103
1x04,Code of Honor,TNG,41235.25,1987-10-12,40271-104
1x05,The Last Outpost,TNG,41386.4,1987-10-19,40271-107
1x06,Where No One Has Gone Before,TNG,41263.1,1987-10-26,40271-106
1x07,Lonely Among Us,TNG,41249.3,1987-11-02,40271-108
1x08,Justice,TNG,41255.6,1987-11-09,40271-109
1x09,The Battle,TNG,41723.9,1987-11-16,40271-110
1x10,Hide and Q,TNG,41590.5,1987-11-23,40271-111
1x11,Haven,TNG,41294.5,1987-11-30,40271-105
1x12,The Big Goodbye,TNG,41997.7,1988-01-11,40271-113
1x13,Datalore,TNG,41242.4,1988-01-18,40271-114
1x14,Angel One,TNG,41636.9,1988-01-25,40271-115
1x15,11001001,TNG,41365.9,1988-02-01,40271-116
1x16,Too Short a Season,TNG,41309.5,1988-02-08,40271-112
1x17,When The Bough Breaks,TNG,41509.1,1988-02-15,40271-118
1x18,Home Soil,TNG,41463.9,1988-02-22,40271-117
1x19,Coming of Age,TNG,41416.2,1988-03-14,40271-119
1x20,Heart of Glory,TNG,41503.7,1988-03-21,40271-120
1x21,The Arsenal of Freedom,TNG,41798.2,1988-04-11,40271-121
1x22,Symbiosis,TNG,Unknown,1988-04-18,40271-123
1x23,Skin of Evil,TNG,41601.3,1988-04-25,40271-122
1x24,We'll Always Have Paris,TNG,41697.9,1988-05-02,40271-124
1x25,Conspiracy,TNG,41775.5,1988-05-09,40271-125
1x26,The Neutral Zone,TNG,41986.0,1988-05-16,40271-126
2x01,The Child,TNG,42073.1,1988-11-21,40272-127
2x02,Where Silence Has Lease,TNG,42193.6,1988-11-28,40272-128
2x03,"Elementary, Dear Data",TNG,42286.3,1988-12-05,40272-129
2x04,The Outrageous Okona,TNG,42402.7,1988-12-12,40272-130
